universe_code,universe_name,movie_code,movie_name,country_code,country_name,release_date,opening,gross
1000,MCU,4,Thor,386,Slovenia,28-Apr-11,38951,122992
1000,MCU,4,Thor,27,South Africa,29-Apr-11,730953,2009016
1000,MCU,4,Thor,34,Spain,29-Apr-11,5584770,12440218
1000,MCU,4,Thor,46,Sweden,29-Apr-11,623099,2294015
1000,MCU,4,Thor,1010,Switzerland (French),27-Apr-11,N/A,N/A
1000,MCU,4,Thor,1011,Switzerland (German),28-Apr-11,N/A,N/A
1000,MCU,4,Thor,1012,Switzerland (Italian),29-Apr-11,N/A,N/A
1000,MCU,4,Thor,90,Turkey,29-Apr-11,692364,2088436
1000,MCU,4,Thor,380,Ukraine,27-Apr-11,450855,1477787
1000,MCU,4,Thor,971,United Arab Emirates,28-Apr-11,1097727,2066386
1000,MCU,4,Thor,44,United Kingdom,29-Apr-11,9106603,22521717
1000,MCU,4,Thor,54,Argentina,28-Apr-11,773327,2399738
1000,MCU,4,Thor,591,Bolivia,28-Apr-11,97378,370749
1000,MCU,4,Thor,55,Brazil,29-Apr-11,5271703,12092872
1000,MCU,4,Thor,56,Chile,28-Apr-11,N/A,1249402
1000,MCU,4,Thor,57,Colombia,29-Apr-11,930674,2468907
1000,MCU,4,Thor,593,Ecuador,29-Apr-11,374421,1281880
1000,MCU,4,Thor,52,Mexico,29-Apr-11,7201607,19547866
1000,MCU,4,Thor,507,Panama,29-Apr-11,N/A,N/A
1000,MCU,4,Thor,51,Peru,28-Apr-11,654320,1970451
1000,MCU,4,Thor,598,Uruguay,28-Apr-11,21019,82485
1000,MCU,4,Thor,58,Venezuela,29-Apr-11,651620,2647111
1000,MCU,4,Thor,61,Australia,21-Apr-11,5752130,20135378
1000,MCU,4,Thor,852,Hong Kong,28-Apr-11,1060507,2490495
1000,MCU,4,Thor,91,India,29-Apr-11,N/A,1001416
1000,MCU,4,Thor,62,Indonesia,3-Nov-11,106175,273076
1000,MCU,4,Thor,81,Japan,2-Jul-11,1607229,5737436
1000,MCU,4,Thor,60,Malaysia,28-Apr-11,1463761,3730598
1000,MCU,4,Thor,64,New Zealand,28-Apr-11,671577,1900064
1000,MCU,4,Thor,63,Philippines,29-Apr-11,1397065,4027405
1000,MCU,4,Thor,1007,Russia/CIS,28-Apr-11,6655893,16543455
1000,MCU,4,Thor,65,Singapore,28-Apr-11,1777475,4250375
1000,MCU,4,Thor,82,South Korea,28-Apr-11,5166358,14791773
1000,MCU,4,Thor,886,Taiwan,30-Apr-11,1549423,5830415
1000,MCU,4,Thor,66,Thailand,28-Apr-11,976391,2316699
1000,MCU,5,Captain America: The First Avenger,1,United States,22-Jul-11,65058524,176654505
1000,MCU,5,Captain America: The First Avenger,43,Austria,19-Aug-11,223071,721073
1000,MCU,5,Captain America: The First Avenger,32,Belgium,17-Aug-11,290395,1034834
1000,MCU,5,Captain America: The First Avenger,359,Bulgaria,29-Jul-11,48655,242275
1000,MCU,5,Captain America: The First Avenger,385,Croatia,28-Jul-11,52789,134319
1000,MCU,5,Captain America: The First Avenger,357,Cyprus,26-Aug-11,N/A,N/A
1000,MCU,5,Captain America: The First Avenger,420,Czech Republic,4-Aug-11,141998,352470
1000,MCU,5,Captain America: The First Avenger,45,Denmark,11-Aug-11,N/A,1053304
1000,MCU,5,Captain America: The First Avenger,1003,East Africa,12-Aug-11,12547,41927
1000,MCU,5,Captain America: The First Avenger,20,Egypt,31-Aug-11,46407,110427
1000,MCU,5,Captain America: The First Avenger,372,Estonia,29-Jul-11,34737,96669
1000,MCU,5,Captain America: The First Avenger,358,Finland,19-Aug-11,107424,312658
1000,MCU,5,Captain America: The First Avenger,33,France,17-Aug-11,3339680,10284742
1000,MCU,5,Captain America: The First Avenger,49,Germany,18-Aug-11,1911675,4872496
1000,MCU,5,Captain America: The First Avenger,233,Ghana,12-Aug-11,6784,17950
1000,MCU,5,Captain America: The First Avenger,30,Greece,1-Sep-11,338651,767589
1000,MCU,5,Captain America: The First Avenger,36,Hungary,4-Aug-11,208160,505909
1000,MCU,5,Captain America: The First Avenger,354,Iceland,27-Jul-11,47602,203750
1000,MCU,5,Captain America: The First Avenger,972,Israel,4-Aug-11,251527,723196
1000,MCU,5,Captain America: The First Avenger,39,Italy,22-Jul-11,2827021,8601080
1000,MCU,5,Captain America: The First Avenger,371,Latvia,29-Jul-11,17113,64654
1000,MCU,5,Captain America: The First Avenger,961,Lebanon,1-Sep-11,N/A,173417
1000,MCU,5,Captain America: The First Avenger,370,Lithuania,29-Jul-11,21077,56082
1000,MCU,5,Captain America: The First Avenger,31,Netherlands,28-Jul-11,536712,1632726
1000,MCU,5,Captain America: The First Avenger,234,Nigeria,12-Aug-11,26046,60118
1000,MCU,5,Captain America: The First Avenger,47,Norway,12-Aug-11,477017,1413442
1000,MCU,5,Captain America: The First Avenger,48,Poland,5-Aug-11,191496,453329
1000,MCU,5,Captain America: The First Avenger,351,Portugal,4-Aug-11,511143,1508941
1000,MCU,5,Captain America: The First Avenger,40,Romania,5-Aug-11,98267,278732
1000,MCU,5,Captain America: The First Avenger,1008,Serbia and Montenegro,28-Jul-11,7869,32734
1000,MCU,5,Captain America: The First Avenger,421,Slovakia,4-Aug-11,N/A,94550
1000,MCU,5,Captain America: The First Avenger,386,Slovenia,28-Jul-11,16789,68827
1000,MCU,5,Captain America: The First Avenger,27,South Africa,5-Aug-11,390436,1041847
1000,MCU,5,Captain America: The First Avenger,34,Spain,5-Aug-11,2535436,7714453
1000,MCU,5,Captain America: The First Avenger,46,Sweden,12-Aug-11,502855,1504719
1000,MCU,5,Captain America: The First Avenger,41,Switzerland,17-Aug-11,N/A,N/A
1000,MCU,5,Captain America: The First Avenger,90,Turkey,2-Sep-11,373116,1081033
1000,MCU,5,Captain America: The First Avenger,380,Ukraine,28-Jul-11,271938,619293
1000,MCU,5,Captain America: The First Avenger,971,United Arab Emirates,1-Sep-11,553310,1330549
1000,MCU,5,Captain America: The First Avenger,44,United Kingdom,29-Jul-11,4899096,14752839
1000,MCU,5,Captain America: The First Avenger,54,Argentina,28-Jul-11,1671565,3537279
1000,MCU,5,Captain America: The First Avenger,591,Bolivia,28-Jul-11,113065,369499
1000,MCU,5,Captain America: The First Avenger,55,Brazil,29-Jul-11,6885568,20681912
1000,MCU,5,Captain America: The First Avenger,56,Chile,28-Jul-11,584785,1619307
1000,MCU,5,Captain America: The First Avenger,57,Colombia,29-Jul-11,1159116,2777753
1000,MCU,5,Captain America: The First Avenger,593,Ecuador,29-Jul-11,518898,1490660
1000,MCU,5,Captain America: The First Avenger,52,Mexico,29-Jul-11,8089424,20224903
1000,MCU,5,Captain America: The First Avenger,507,Panama,29-Jul-11,N/A,N/A
1000,MCU,5,Captain America: The First Avenger,51,Peru,28-Jul-11,1145193,2388006
1000,MCU,5,Captain America: The First Avenger,598,Uruguay,29-Jul-11,31143,92170
1000,MCU,5,Captain America: The First Avenger,58,Venezuela,20-Jan-12,308508,1081258
1000,MCU,5,Captain America: The First Avenger,61,Australia,28-Jul-11,5061705,11108979
1000,MCU,5,Captain America: The First Avenger,852,Hong Kong,4-Aug-11,1216837,2496989
1000,MCU,5,Captain America: The First Avenger,91,India,12-Aug-11,121605,121605
1000,MCU,5,Captain America: The First Avenger,62,Indonesia,9-Sep-11,1058251,2046208
1000,MCU,5,Captain America: The First Avenger,81,Japan,15-Oct-11,1152746,3431374
1000,MCU,5,Captain America: The First Avenger,60,Malaysia,28-Jul-11,1538846,2999710
1000,MCU,5,Captain America: The First Avenger,64,New Zealand,28-Jul-11,742790,1466314
1000,MCU,5,Captain America: The First Avenger,63,Philippines,27-Jul-11,2103025,3577307
1000,MCU,5,Captain America: The First Avenger,1007,Russia/CIS,28-Jul-11,4232347,8638710
1000,MCU,5,Captain America: The First Avenger,65,Singapore,28-Jul-11,1691249,3559632
1000,MCU,5,Captain America: The First Avenger,82,South Korea,28-Jul-11,2058497,3814179
